Player,Team,Games,Target,Rec,Yard,TD,Att,Yard,TD,FPTS
Paul Richardson,WAS,10,42,28,245,2,1,0,0,36.5
Kelvin Harmon,WAS,13,44,30,365,0,0,0,0,36.5
Isaiah McKenzie,BUF,12,39,27,254,1,8,49,0,36.3
Jakobi Meyers,NE,11,41,26,359,0,0,0,0,35.9
DaeSean Hamilton,DEN,12,52,28,297,1,0,0,0,35.7
Tavon Austin,DAL,13,24,13,177,1,6,47,1,34.4
Jaron Brown,SEA,8,28,16,220,2,0,0,0,34
Vyncint Smith,NYJ,13,31,17,225,0,3,52,1,33.7
Marvin Hall,DET,7,11,7,261,1,1,7,0,32.8
Keke Coutee,HOU,8,36,22,254,0,2,14,1,32.8
Greg Ward,PHI,6,40,28,254,1,1,5,0,31.9
Chester Rogers,IND,9,28,16,179,2,1,18,0,31.7
Malik Turner,SEA,10,22,15,245,1,0,0,0,30.5
Pharoh Cooper,ARI,11,33,25,243,1,1,2,0,30.5
Jarius Wright,CAR,16,58,28,296,0,1,-7,0,28.9
Jake Kumerow,GB,11,21,12,219,1,0,0,0,27.9
DeSean Jackson,PHI,3,10,9,159,2,0,0,0,27.9
Justin Watson,TB,6,26,15,159,2,0,0,0,27.9
Scotty Miller,TB,9,26,13,200,1,2,16,0,27.6
N'Keal Harry,NE,7,24,12,105,2,5,49,0,27.4
Andy Isabella,ARI,9,13,9,189,1,4,15,0,26.4
Marquise Goodwin,SF,8,21,12,186,1,1,15,0,26.1
Damion Ratley,CLE,9,24,12,200,1,0,0,0,26
Trey Quinn,WAS,12,47,26,198,1,0,0,0,25.8
Isaiah Ford,MIA,8,35,23,244,0,1,11,0,25.5
KeeSean Johnson,ARI,10,42,21,187,1,1,3,0,25
Javon Wims,CHI,11,39,18,186,1,0,0,0,24.6
Trevor Davis,GB,7,11,8,111,0,4,73,1,24.4
Laquon Treadwell,MIN,9,16,9,184,1,0,0,0,24.4
Byron Pringle,KC,6,16,12,170,1,0,0,0,23
JJ Arcega-Whiteside,PHI,8,22,10,169,1,0,0,0,22.9
Jakeem Grant,MIA,9,33,19,164,0,4,5,1,22.9
Dante Pettis,SF,9,24,11,109,2,0,0,0,22.9
Duke Williams,BUF,4,19,12,166,1,0,0,0,22.6
Kalif Raymond,TEN,7,12,9,170,1,1,-5,0,22.5
Richie James,SF,7,10,6,165,1,2,-1,0,22.4
Parris Campbell,IND,7,24,18,127,1,4,34,0,22.1
Zay Jones,BUF,14,45,27,216,0,1,3,0,21.9
Tim Patrick,DEN,7,31,16,218,0,0,0,0,21.8
Bennie Fowler,NYG,8,36,23,193,0,1,20,0,21.3
Justin Hardy,ATL,11,26,19,195,0,0,0,0,19.5
Cordarrelle Patterson,CHI,12,17,11,83,0,17,103,0,18.6
Dontrelle Inman,LAC,7,21,12,181,0,0,0,0,18.1
Olamide Zaccheaus,ATL,3,5,3,115,1,0,0,0,17.5
Devin Smith,DAL,3,9,5,113,1,0,0,0,17.3
DeAndre Carter,HOU,6,14,11,162,0,0,0,0,16.2
Keelan Doss,LV,6,14,11,133,0,0,0,0,13.3
Rico Gafford,LV,2,2,2,66,1,0,0,0,12.6
Mack Hollins,PHI,8,23,10,125,0,0,0,0,12.5
Deon Cain,IND,11,20,9,124,0,0,0,0,12.4
Antonio Brown,NE,1,8,4,56,1,1,5,0,12.1
Marcell Ateman,LV,4,10,5,116,0,0,0,0,11.6
Braxton Berrios,NYJ,6,13,6,115,0,0,0,0,11.5
