Player,Player Listing,Team,Games,Target,Rec,Yard,TD,Att,Yard,TD,FPTS,,
DeVante Parker, 46. DeVante Parker,MIA,14,103,63,793,4,0,0,0,103.3,,
Gabriel Davis, 47. Gabriel Davis,BUF,16,62,35,599,7,1,0,0,101.9,,
D.J. Chark, 48. D.J. Chark,JAC,13,94,53,706,5,0,0,0,100.6,,
Laviska Shenault, 49. Laviska Shenault,JAC,14,79,58,600,5,18,91,0,99.1,,
Christian Kirk, 50. Christian Kirk,ARI,14,79,48,621,6,2,3,0,98.4,,
Julio Jones, 51. Julio Jones,ATL,9,68,51,771,3,0,0,0,95.1,,
Sterling Shepard, 52. Sterling Shepard,NYG,12,90,66,656,3,6,49,1,94.5,,
Keelan Cole, 53. Keelan Cole,JAC,16,86,55,642,5,1,2,0,94.4,,
Darius Slayton, 54. Darius Slayton,NYG,16,97,50,751,3,2,-1,0,93,,
Zach Pascal, 55. Zach Pascal,IND,16,71,44,629,5,0,0,0,92.9,,
Darnell Mooney, 56. Darnell Mooney,CHI,16,98,61,631,4,4,20,0,89.1,,
Rashard Higgins, 57. Rashard Higgins,CLE,12,52,37,599,4,0,0,0,83.9,,
David Moore, 58. David Moore,SEA,16,47,35,417,6,8,61,0,83.8,,
Mecole Hardman, 59. Mecole Hardman,KC,16,62,41,560,4,4,31,0,83.1,,
Kendrick Bourne, 60. Kendrick Bourne,SF,15,74,49,667,2,0,0,0,78.7,,
Travis Fulgham, 61. Travis Fulgham,PHI,12,67,38,539,4,0,0,0,77.9,,
Hunter Renfrow, 62. Hunter Renfrow,LV,16,76,56,656,2,0,0,0,77.6,,
Greg Ward, 63. Greg Ward,PHI,16,79,53,419,6,2,-4,0,77.5,,
Josh Reynolds, 64. Josh Reynolds,LAR,16,81,52,618,2,1,5,0,74.3,,
Jakobi Meyers, 65. Jakobi Meyers,NE,12,81,59,729,0,2,9,0,73.8,,
Antonio Brown, 66. Antonio Brown,TB,8,61,45,483,4,2,-2,0,72.1,,
Scotty Miller, 67. Scotty Miller,TB,14,53,33,501,3,3,14,0,69.5,,
James Washington, 68. James Washington,PIT,16,56,30,392,5,0,0,0,69.2,,
Tre'Quan Smith, 71. Tre'Quan Smith,NO,13,50,34,448,4,1,3,0,69.1,,
Breshad Perriman, 70. Breshad Perriman,NYJ,12,59,30,505,3,1,6,0,69.1,,
Jalen Guyton, 69. Jalen Guyton,LAC,16,55,28,511,3,2,0,0,69.1,,
Damiere Byrd, 72. Damiere Byrd,NE,14,76,47,604,1,2,15,0,67.9,,
Allen Lazard, 73. Allen Lazard,GB,10,46,33,451,3,2,17,0,64.8,,
Demarcus Robinson, 74. Demarcus Robinson,KC,15,59,45,466,3,0,0,0,64.6,,
A.J. Green, 75. A.J. Green,CIN,16,104,47,523,2,0,0,0,64.3,,
John Brown, 76. John Brown,BUF,9,52,33,458,3,0,0,0,63.8,,
Odell Beckham Jr., 77. Odell Beckham Jr.,CLE,7,44,23,319,3,3,72,1,63.1,,
Randall Cobb, 78. Randall Cobb,HOU,10,48,38,441,3,0,0,0,62.1,,
Henry Ruggs III, 79. Henry Ruggs III,LV,13,43,26,452,2,9,49,0,62.1,,
Anthony Miller, 80. Anthony Miller,CHI,16,76,49,485,2,2,12,0,61.7,,
Willie Snead, 81. Willie Snead,BAL,13,48,33,432,3,0,0,0,61.2,,
Danny Amendola, 82. Danny Amendola,DET,14,69,46,602,0,1,2,0,60.4,,
Braxton Berrios, 83. Braxton Berrios,NYJ,13,55,37,394,3,3,29,0,60.3,,
KJ Hamler, 84. KJ Hamler,DEN,12,56,30,381,3,9,40,0,60.1,,
Tyron Johnson, 85. Tyron Johnson,LAC,11,26,20,398,3,3,17,0,59.5,,
Chris Conley, 86. Chris Conley,JAC,14,63,40,471,2,0,0,0,59.1,,
Isaiah McKenzie, 87. Isaiah McKenzie,BUF,15,34,30,282,5,10,9,0,59.1,,
Michael Pittman Jr., 88. Michael Pittman Jr.,IND,13,60,40,503,1,3,26,0,58.9,,
Keke Coutee, 89. Keke Coutee,HOU,8,40,33,400,3,0,0,0,58,,
Sammy Watkins, 90. Sammy Watkins,KC,10,55,37,421,2,1,3,0,54.4,,
Cam Sims, 91. Cam Sims,WAS,11,48,32,477,1,1,5,0,54.2,,
Preston Williams, 92. Preston Williams,MIA,8,35,18,288,4,0,0,0,52.8,,
Golden Tate, 93. Golden Tate,NYG,12,52,35,388,2,0,0,0,50.8,,
Miles Boykin, 94. Miles Boykin,BAL,13,33,19,266,4,0,0,0,50.6,,
Jalen Reagor, 95. Jalen Reagor,PHI,11,54,31,396,1,4,26,0,48.2,,
Deebo Samuel, 96. Deebo Samuel,SF,7,44,33,391,1,8,26,0,47.7,,
Larry Fitzgerald, 98. Larry Fitzgerald,ARI,13,72,54,409,1,0,0,0,46.9,,
Quintez Cephus, 97. Quintez Cephus,DET,11,35,20,349,2,0,0,0,46.9,,
Kenny Golladay, 99. Kenny Golladay,DET,5,32,20,338,2,0,0,0,45.8,,
Richie James, 100. Richie James,SF,7,35,23,394,1,0,0,0,45.4,,
Jakeem Grant,101. Jakeem Grant,MIA,14,54,36,373,1,3,20,0,45.3,,
Michael Thomas, 102. Michael Thomas,NO,7,55,40,438,0,1,1,0,43.9,,
N'Keal Harry, 103. N'Keal Harry,NE,13,58,33,309,2,2,0,0,42.9,,
Donovan Peoples-Jones, 105. Donovan Peoples-Jones,CLE,7,20,14,304,2,0,0,0,42.4,,
Cordarrelle Patterson, 104. Cordarrelle Patterson,CHI,15,25,21,132,0,64,232,1,42.4,,
Marvin Hall, 106. Marvin Hall,DET,11,32,18,302,2,1,1,0,42.3,,
DaeSean Hamilton, 107. DaeSean Hamilton,DEN,12,44,23,293,2,0,0,0,41.3,,
Collin Johnson, 108. Collin Johnson,JAC,10,31,18,272,2,0,0,0,39.2,,
Denzel Mims, 109. Denzel Mims,NYJ,9,45,23,357,0,0,0,0,35.7,,
Adam Humphries, 110. Adam Humphries,TEN,7,35,23,228,2,1,0,0,34.8,,
Steven Sims, 111. Steven Sims,WAS,11,37,27,265,1,1,18,0,34.3,,
Andy Isabella, 112. Andy Isabella,ARI,11,34,21,224,2,1,-6,0,33.8,,
Julian Edelman, 113. Julian Edelman,NE,6,39,21,315,0,2,22,0,33.7,,
Olamide Zaccheaus, 114. Olamide Zaccheaus,ATL,9,32,20,274,1,1,0,0,33.4,,
Chad Beebe, 115. Chad Beebe,MIN,10,29,20,201,2,0,0,0,32.1,,
DeSean Jackson, 116. DeSean Jackson,PHI,5,26,14,236,1,1,12,0,30.8,,
Deonte Harris, 117. Deonte Harris,NO,9,25,20,186,1,6,51,0,29.7,,
Cedrick Wilson, 118. Cedrick Wilson,DAL,10,28,17,189,2,3,-12,0,29.7,,
Chad Hansen, 119. Chad Hansen,HOU,5,24,17,236,1,0,0,0,29.6,,
Tyler Johnson, 120. Tyler Johnson,TB,10,18,12,169,2,0,0,0,28.9,,
Dontrelle Inman, 121. Dontrelle Inman,WAS,7,28,18,163,2,0,0,0,28.3,,
Freddie Swain, 123. Freddie Swain,SEA,12,21,13,159,2,0,0,0,27.9,,
Van Jefferson, 122. Van Jefferson,LAR,13,31,19,220,1,1,-1,0,27.9,,
Isaiah Ford, 124. Isaiah Ford,MIA,9,43,28,276,0,0,0,0,27.6,,
Devin Duvernay, 125. Devin Duvernay,BAL,14,26,20,201,0,4,70,0,27.1,,
Marcus Johnson, 126. Marcus Johnson,IND,8,28,14,255,0,0,0,0,25.5,,
Bryan Edwards, 127. Bryan Edwards,LV,9,15,11,193,1,0,0,0,25.3,,
Mohamed Sanu, 128. Mohamed Sanu,SF,7,24,17,187,1,1,3,0,25,,
Mack Hollins, 129. Mack Hollins,MIA,9,25,16,176,1,0,0,0,23.6,,
Byron Pringle, 130. Byron Pringle,KC,5,17,13,160,1,0,0,0,22,,
Zay Jones, 131. Zay Jones,LV,11,19,14,154,1,0,0,0,21.4,,
Isaiah Wright, 133. Isaiah Wright,WAS,11,35,27,197,0,3,16,0,21.3,,
Marquez Callaway, 132. Marquez Callaway,NO,6,27,21,213,0,0,0,0,21.3,,
Kenny Stills, 134. Kenny Stills,HOU,7,19,11,144,1,0,0,0,20.4,,
Brandon Powell, 135. Brandon Powell,ATL,10,18,12,69,2,2,7,0,19.6,,
Mike Thomas, 136. Mike Thomas,CIN,10,21,13,132,1,1,1,0,19.3,,
Olabisi Johnson, 137. Olabisi Johnson,MIN,8,19,14,189,0,0,0,0,18.9,,
Equanimeous St. Brown, 139. Equanimeous St. Brown,GB,8,13,7,117,1,1,7,0,18.4,,
Kalif Raymond, 138. Kalif Raymond,TEN,8,15,9,187,0,1,-3,0,18.4,,
KhaDarel Hodge, 141. KhaDarel Hodge,CLE,7,17,11,180,0,0,0,0,18,,
Cameron Batson, 140. Cameron Batson,TEN,9,13,12,100,1,4,20,0,18,,
Alshon Jeffery, 142. Alshon Jeffery,PHI,7,12,6,115,1,0,0,0,17.5,,
KeeSean Johnson, 143. KeeSean Johnson,ARI,8,23,15,173,0,0,0,0,17.3,,
Laquon Treadwell, 144. Laquon Treadwell,ATL,4,7,6,49,2,0,0,0,16.9,,
John Hightower, 145. John Hightower,PHI,10,29,10,167,0,1,1,0,16.8,,
Dez Bryant, 146. Dez Bryant,BAL,4,11,6,47,2,0,0,0,16.7,,
Jeff Smith, 147. Jeff Smith,NYJ,8,37,17,167,0,0,0,0,16.7,,
Quez Watkins, 148. Quez Watkins,PHI,4,13,7,106,1,0,0,0,16.6,,
Noah Brown, 149. Noah Brown,DAL,8,23,14,154,0,1,4,0,15.8,,
Malcolm Perry, 150. Malcolm Perry,MIA,8,13,9,92,1,3,5,0,15.7,,
