Player,Player Listing,Team,Games,Target,Rec,Yard,TD,Att,Yard,TD,FPTS,,
Davante Adams,1. Davante Adams,GB,14,149,115,"1,374",18,0,0,0,245.4,,
Tyreek Hill, 2. Tyreek Hill,KC,15,134,87,"1,276",15,13,123,2,241.9,,
Stefon Diggs, 3. Stefon Diggs,BUF,16,168,127,"1,535",8,1,1,0,201.6,,
Calvin Ridley, 4. Calvin Ridley,ATL,15,143,90,"1,374",9,5,1,0,191.5,,
D.K. Metcalf, 5. DK Metcalf,SEA,16,129,83,"1,303",10,0,0,0,190.3,,
Justin Jefferson, 6. Justin Jefferson,MIN,16,125,88,"1,400",7,1,2,0,182.2,,
Mike Evans, 7. Mike Evans,TB,16,109,70,"1,006",13,0,0,0,178.6,,
Adam Thielen, 8. Adam Thielen,MIN,15,108,74,925,14,3,15,0,178,,
DeAndre Hopkins, 9. DeAndre Hopkins,ARI,16,160,115,"1,407",6,1,1,0,176.8,,
A.J. Brown, 10. A.J. Brown,TEN,14,106,70,"1,073",11,0,0,0,173.3,,
Tyler Lockett, 11. Tyler Lockett,SEA,16,132,100,"1,054",10,0,0,0,165.4,,
Allen Robinson, 12. Allen Robinson,CHI,16,151,102,"1,250",6,1,-1,0,160.9,,
Robert Woods, 13. Robert Woods,LAR,16,130,90,936,6,24,155,2,157.1,,
Chase Claypool, 14. Chase Claypool,PIT,16,109,62,873,9,10,16,2,154.9,,
Marvin Jones, 15. Marvin Jones,DET,16,115,76,978,9,0,0,0,151.8,,
Brandin Cooks, 16. Brandin Cooks,HOU,15,119,81,"1,150",6,0,0,0,151,,
Keenan Allen, 17. Keenan Allen,LAC,14,147,100,992,8,1,-1,0,147.1,,
D.J. Moore, 18. D.J. Moore,CAR,15,118,66,"1,193",4,2,22,0,145.5,,
Amari Cooper, 19. Amari Cooper,DAL,16,130,92,"1,114",5,6,14,0,142.8,,
Terry McLaurin, 20. Terry McLaurin,WAS,15,134,87,"1,118",4,2,30,0,138.8,,
CeeDee Lamb, 21. CeeDee Lamb,DAL,16,109,74,935,5,10,82,1,137.7,,
Nelson Agholor, 22. Nelson Agholor,LV,16,82,48,896,8,0,0,0,137.6,,
JuJu Smith-Schuster, 23. JuJu Smith-Schuster,PIT,16,128,97,831,9,0,0,0,137.1,,
Will Fuller, 24. Will Fuller,HOU,11,75,53,879,8,1,0,0,135.9,,
Diontae Johnson, 25. Diontae Johnson,PIT,15,144,88,924,7,3,15,0,135.9,,
Curtis Samuel, 26. Curtis Samuel,CAR,15,97,77,851,3,41,200,2,135.1,,
Tee Higgins, 27. Tee Higgins,CIN,15,107,67,908,6,5,28,0,129.6,,
Robby Anderson, 28. Robby Anderson,CAR,16,138,95,"1,097",3,4,15,0,129.2,,
Corey Davis, 29. Corey Davis,TEN,14,92,65,984,5,0,0,0,128.4,,
Chris Godwin, 30. Chris Godwin,TB,12,84,65,840,7,0,0,0,126,,
Marquise Brown, 31. Marquise Brown,BAL,16,99,58,769,8,1,1,0,125,,
Brandon Aiyuk, 32. Brandon Aiyuk,SF,12,97,60,748,5,6,77,2,124.5,,
Cole Beasley, 33. Cole Beasley,BUF,15,107,82,967,4,0,0,0,120.7,,
Cooper Kupp, 34. Cooper Kupp,LAR,15,125,92,974,3,4,33,0,118.7,,
Michael Gallup, 35. Michael Gallup,DAL,16,106,59,843,5,0,0,0,114.3,,
Tyler Boyd, 36. Tyler Boyd,CIN,15,110,79,841,4,5,49,0,113,,
Tim Patrick, 37. Tim Patrick,DEN,15,79,51,742,6,0,0,0,110.2,,
Jarvis Landry, 38. Jarvis Landry,CLE,15,101,72,840,3,4,10,1,109,,
Jamison Crowder, 39. Jamison Crowder,NYJ,12,89,59,699,6,1,14,0,107.3,,
Marquez Valdes-Scantling, 40. Marquez Valdes-Scantling,GB,14,63,33,690,6,4,13,0,106.3,,
T.Y. Hilton, 41. T.Y. Hilton,IND,15,93,56,762,5,0,0,0,106.2,,
Mike Williams, 42. Mike Williams,LAC,14,85,48,756,5,1,1,0,105.7,,
Emmanuel Sanders, 43. Emmanuel Sanders,NO,14,82,61,726,5,1,12,0,103.8,,
Jerry Jeudy, 44. Jerry Jeudy,DEN,16,113,52,856,3,0,0,0,103.6,,
Russell Gage, 45. Russell Gage,ATL,16,110,72,786,4,2,9,0,103.5,,
